time,avg,seconds,minutes
0:24:42,2:26,1482,24.7
0:28:32,2:49,1712,28.53
0:29:23,2:50,1763,29.38
0:31:46,3:06,1906,31.77
0:32:37,3:12,1957,32.62
0:34:43,3:23,2083,34.72
0:35:45,3:25,2145,35.75
0:35:46,3:32,2146,35.77
0:36:07,3:33,2167,36.12
0:36:11,3:35,2171,36.18
0:36:31,3:36,2191,36.52
0:37:52,3:39,2272,37.87
0:38:05,3:36,2285,38.08
0:38:05,3:47,2285,38.08
0:38:37,3:48,2317,38.62
0:38:46,3:47,2326,38.77
0:38:59,3:52,2339,38.98
0:39:27,3:56,2367,39.45
0:40:12,3:56,2412,40.2
0:40:14,3:58,2414,40.23
0:40:19,3:59,2419,40.32
0:40:22,3:59,2422,40.37
0:40:23,3:59,2423,40.38
0:40:23,4:00,2423,40.38
0:40:38,4:00,2438,40.63
0:40:42,3:53,2442,40.7
0:40:42,3:53,2442,40.7
0:40:59,4:03,2459,40.98
0:41:09,4:04,2469,41.15
0:41:35,4:07,2495,41.58
0:41:38,4:07,2498,41.63
0:41:45,4:01,2505,41.75
0:42:04,4:08,2524,42.07
0:42:07,4:10,2527,42.12
0:42:10,4:12,2530,42.17
0:42:17,4:11,2537,42.28
0:42:31,4:11,2551,42.52
0:42:36,4:11,2556,42.6
0:42:52,4:14,2572,42.87
0:42:56,4:15,2576,42.93
0:43:04,4:13,2584,43.07
0:43:05,4:13,2585,43.08
0:43:08,4:16,2588,43.13
0:43:11,4:16,2591,43.18
0:43:11,4:15,2591,43.18
0:43:11,4:16,2591,43.18
0:43:15,4:17,2595,43.25
0:43:18,4:18,2598,43.3
0:43:27,4:09,2607,43.45
0:43:30,4:18,2610,43.5
0:43:31,4:17,2611,43.52
0:43:33,4:10,2613,43.55
0:43:38,4:19,2618,43.63
0:43:43,4:19,2623,43.72
0:43:44,4:19,2624,43.73
0:43:46,4:20,2626,43.77
0:43:48,4:22,2628,43.8
0:43:57,4:10,2637,43.95
0:43:57,4:10,2637,43.95
0:44:00,4:21,2640,44.0
0:44:01,4:21,2641,44.02
0:44:02,4:21,2642,44.03
0:44:08,4:22,2648,44.13
0:44:13,4:19,2653,44.22
0:44:16,4:20,2656,44.27
0:44:19,4:22,2659,44.32
0:44:26,4:24,2666,44.43
0:44:29,4:16,2669,44.48
0:44:31,4:24,2671,44.52
0:44:36,4:16,2676,44.6
0:44:39,4:25,2679,44.65
0:44:41,4:22,2681,44.68
0:44:41,4:23,2681,44.68
0:44:46,4:24,2686,44.77
0:44:46,4:25,2686,44.77
0:44:50,4:26,2690,44.83
0:44:51,4:26,2691,44.85
0:44:51,4:27,2691,44.85
0:44:55,4:27,2695,44.92
0:45:03,4:27,2703,45.05
0:45:12,4:28,2712,45.2
0:45:14,4:27,2714,45.23
0:45:23,4:28,2723,45.38
0:45:26,4:31,2726,45.43
0:45:28,4:30,2728,45.47
0:45:30,4:30,2730,45.5
0:45:34,4:30,2734,45.57
0:45:36,4:31,2736,45.6
0:45:36,4:30,2736,45.6
0:45:38,4:30,2738,45.63
0:45:39,4:31,2739,45.65
0:45:40,4:30,2740,45.67
0:45:45,4:29,2745,45.75
0:45:46,4:32,2746,45.77
0:45:58,4:33,2758,45.97
0:46:06,4:34,2766,46.1
0:46:10,4:33,2770,46.17
0:46:17,4:35,2777,46.28
0:46:17,4:35,2777,46.28
0:46:22,4:34,2782,46.37
0:46:23,4:34,2783,46.38
0:46:34,4:36,2794,46.57
0:46:39,4:36,2799,46.65
0:46:40,4:38,2800,46.67
0:46:44,4:36,2804,46.73
0:46:53,4:35,2813,46.88
0:46:58,4:39,2818,46.97
0:46:58,4:36,2818,46.97
0:47:00,4:37,2820,47.0
0:47:03,4:33,2823,47.05
0:47:06,4:40,2826,47.1
0:47:13,4:35,2833,47.22
0:47:16,4:41,2836,47.27
0:47:19,4:40,2839,47.32
0:47:21,4:41,2841,47.35
0:47:29,4:42,2849,47.48
0:47:44,4:43,2864,47.73
0:47:44,4:42,2864,47.73
0:47:45,4:43,2865,47.75
0:47:47,4:42,2867,47.78
0:47:48,4:42,2868,47.8
0:47:50,4:42,2870,47.83
0:47:52,4:43,2872,47.87
0:47:58,4:45,2878,47.97
0:47:58,4:45,2878,47.97
0:48:01,4:45,2881,48.02
0:48:02,4:45,2882,48.03
0:48:06,4:36,2886,48.1
