position,team,nation,time,minutes
1,INDIVIDUALE,ITA,0:32:17,32.28
2,PWC,ITA,0:32:40,32.67
3,INDIVIDUALE,ITA,0:32:50,32.83
4,INDIVIDUALE,ITA,0:33:10,33.17
5,INDIVIDUALE,FRA,0:35:25,35.42
6,INDIVIDUALE,ITA,0:35:52,35.87
7,INDIVIDUALE,ITA,0:37:00,37.0
8,INDIVIDUALE,ITA,0:37:55,37.92
9,INDIVIDUALE,ITA,0:38:07,38.12
10,INDIVIDUALE,ITA,0:38:44,38.73
11,INDIVIDUALE,UKR,0:38:50,38.83
12,INDIVIDUALE,ITA,0:38:56,38.93
13,INDIVIDUALE,ITA,0:39:09,39.15
14,GEOTEAM-U4,ITA,0:40:03,40.05
15,INDIVIDUALE,ITA,0:40:04,40.07
16,INDIVIDUALE,ITA,0:40:08,40.13
17,INDIVIDUALE,ITA,0:40:11,40.18
18,INDIVIDUALE,ITA,0:40:18,40.3
19,INDIVIDUALE,ITA,0:40:42,40.7
20,INDIVIDUALE,BRA,0:40:44,40.73
21,INDIVIDUALE,MEX,0:41:04,41.07
22,INDIVIDUALE,ITA,0:41:10,41.17
23,INDIVIDUALE,ITA,0:41:15,41.25
24,INDIVIDUALE,ITA,0:41:19,41.32
25,GEOTEAM-U4,ITA,0:41:22,41.37
26,G.T.A. CREMA,ITA,0:41:31,41.52
27,GEOTEAM-U4,ITA,0:41:38,41.63
28,INDIVIDUALE,ITA,0:41:42,41.7
29,INDIVIDUALE,ITA,0:41:45,41.75
30,DXC,ITA,0:41:56,41.93
31,INDIVIDUALE,ITA,0:42:08,42.13
32,INDIVIDUALE,ITA,0:42:08,42.13
33,DXC,ITA,0:42:11,42.18
34,INDIVIDUALE,ITA,0:42:12,42.2
35,INDIVIDUALE,ITA,0:42:21,42.35
36,OMBRIANO RUNNING,ITA,0:43:16,43.27
37,INDIVIDUALE,ITA,0:43:26,43.43
38,INDIVIDUALE,ITA,0:43:26,43.43
39,INDIVIDUALE,ITA,0:43:38,43.63
40,INDIVIDUALE,ITA,0:44:11,44.18
41,PAOLOTTI UNIVERSITARI,ITA,0:44:11,44.18
42,INDIVIDUALE,ITA,0:44:16,44.27
43,INDIVIDUALE,ITA,0:44:17,44.28
44,INDIVIDUALE,ITA,0:44:23,44.38
45,INDIVIDUALE,ITA,0:44:34,44.57
46,INDIVIDUALE,ALB,0:44:39,44.65
47,INDIVIDUALE,ITA,0:44:51,44.85
48,INDIVIDUALE,ITA,0:44:51,44.85
49,INDIVIDUALE,ITA,0:44:52,44.87
50,INDIVIDUALE,ITA,0:44:53,44.88
51,CUS PRO PATRIA MILANO,ITA,0:44:55,44.92
52,INDIVIDUALE,ITA,0:44:56,44.93
53,DXC,ITA,0:45:09,45.15
54,INDIVIDUALE,ITA,0:45:11,45.18
55,PWC,ITA,0:45:19,45.32
56,SCUOLA DI ECONOMIA E,ITA,0:45:23,45.38
57,INDIVIDUALE,ITA,0:45:23,45.38
58,INDIVIDUALE,ITA,0:45:26,45.43
59,INDIVIDUALE,ITA,0:45:27,45.45
60,INDIVIDUALE,ITA,0:45:29,45.48
61,INDIVIDUALE,ITA,0:45:39,45.65
62,EVOLUTION SPORT TEAM,ITA,0:45:44,45.73
63,INDIVIDUALE,ITA,0:45:52,45.87
64,INDIVIDUALE,ITA,0:45:54,45.9
65,INDIVIDUALE,ITA,0:45:54,45.9
66,INDIVIDUALE,ITA,0:46:08,46.13
67,INDIVIDUALE,ITA,0:46:23,46.38
68,INDIVIDUALE,ITA,0:46:41,46.68
69,INDIVIDUALE,ITA,0:46:47,46.78
70,INDIVIDUALE,ITA,0:46:50,46.83
71,INDIVIDUALE,ITA,0:46:58,46.97
72,DEMS,ITA,0:47:07,47.12
73,INDIVIDUALE,ITA,0:47:09,47.15
74,INDIVIDUALE,ITA,0:47:11,47.18
75,INDIVIDUALE,ITA,0:47:14,47.23
76,INDIVIDUALE,ITA,0:47:15,47.25
77,INDIVIDUALE,ITA,0:47:23,47.38
78,PWC,ITA,0:47:30,47.5
79,INDIVIDUALE,ITA,0:47:35,47.58
80,CUS PRO PATRIA,ITA,0:47:38,47.63
81,INDIVIDUALE,ITA,0:47:39,47.65
82,CUS PRO PATRIA,ITA,0:47:41,47.68
83,PWC,ITA,0:47:53,47.88
84,INDIVIDUALE,ITA,0:47:54,47.9
85,INDIVIDUALE,ITA,0:48:02,48.03
86,INDIVIDUALE,ESP,0:48:07,48.12
87,INDIVIDUALE,GER,0:48:11,48.18
88,CUS PRO PATRIA,ITA,0:48:15,48.25
89,INDIVIDUALE,ITA,0:48:29,48.48
90,INDIVIDUALE,ITA,0:48:32,48.53
91,INDIVIDUALE,ITA,0:48:33,48.55
92,INDIVIDUALE,ITA,0:48:36,48.6
93,INDIVIDUALE,ITA,0:48:46,48.77
94,INDIVIDUALE,ITA,0:48:47,48.78
95,RUN CARD,ITA,0:48:51,48.85
96,DXC,ITA,0:48:53,48.88
97,PWC,ITA,0:48:58,48.97
98,INDIVIDUALE,ITA,0:49:04,49.07
99,INDIVIDUALE,ITA,0:49:06,49.1
100,INDIVIDUALE,ITA,0:49:07,49.12
101,PWC,ITA,0:49:09,49.15
102,PWC,ITA,0:49:09,49.15
103,INDIVIDUALE,ITA,0:49:13,49.22
104,PWC,ITA,0:49:13,49.22
105,INDIVIDUALE,ITA,0:49:19,49.32
106,INDIVIDUALE,ITA,0:49:25,49.42
107,INDIVIDUALE,ITA,0:49:30,49.5
108,INDIVIDUALE,ITA,0:49:30,49.5
109,INDIVIDUALE,ITA,0:49:31,49.52
110,INDIVIDUALE,ITA,0:49:33,49.55
111,INDIVIDUALE,ITA,0:49:36,49.6
112,INDIVIDUALE,ITA,0:49:38,49.63
113,INDIVIDUALE,ITA,0:49:42,49.7
114,INDIVIDUALE,ITA,0:49:45,49.75
115,INDIVIDUALE,ITA,0:49:46,49.77
116,INDIVIDUALE,ITA,0:49:46,49.77
117,INDIVIDUALE,ITA,0:49:46,49.77
118,BOCCONI,ITA,0:49:50,49.83
119,PWC,ITA,0:49:54,49.9
120,INDIVIDUALE,ITA,0:49:58,49.97
121,INDIVIDUALE,ITA,0:49:58,49.97
122,INDIVIDUALE,ITA,0:50:00,50.0
123,PWC,ITA,0:50:00,50.0
124,INDIVIDUALE,ITA,0:50:04,50.07
125,INDIVIDUALE,ITA,0:50:05,50.08
126,PWC,ITA,0:50:10,50.17
127,INDIVIDUALE,ITA,0:50:13,50.22
128,ADIDAS RUNNERS,ITA,0:50:14,50.23
129,INDIVIDUALE,ITA,0:50:21,50.35
130,INDIVIDUALE,ITA,0:50:36,50.6
131,PWC,ITA,0:50:50,50.83
132,INDIVIDUALE,ITA,0:50:56,50.93
133,INDIVIDUALE,ITA,0:51:02,51.03
134,PWC,ITA,0:51:03,51.05
135,INDIVIDUALE,ITA,0:51:03,51.05
136,INDIVIDUALE,ITA,0:51:03,51.05
137,INDIVIDUALE,ITA,0:51:08,51.13
138,PWC,ITA,0:51:10,51.17
139,INDIVIDUALE,ITA,0:51:11,51.18
140,INDIVIDUALE,ITA,0:51:11,51.18
141,INDIVIDUALE,ITA,0:51:17,51.28
142,INDIVIDUALE,ITA,0:51:17,51.28
143,INDIVIDUALE,ITA,0:51:25,51.42
144,INDIVIDUALE,ITA,0:51:25,51.42
145,INDIVIDUALE,ITA,0:51:25,51.42
146,INDIVIDUALE,ITA,0:51:25,51.42
147,INDIVIDUALE,ITA,0:51:26,51.43
148,INDIVIDUALE,PER,0:51:27,51.45
149,INDIVIDUALE,ITA,0:51:27,51.45
150,INDIVIDUALE,ITA,0:51:30,51.5
151,INDIVIDUALE,ITA,0:51:30,51.5
152,INDIVIDUALE,ITA,0:51:31,51.52
153,PWC,ITA,0:51:32,51.53
154,INDIVIDUALE,ITA,0:51:38,51.63
155,INDIVIDUALE,ITA,0:51:40,51.67
156,INDIVIDUALE,GBR,0:51:41,51.68
157,INDIVIDUALE,ITA,0:51:46,51.77
158,INDIVIDUALE,ITA,0:51:54,51.9
159,INDIVIDUALE,FRA,0:51:55,51.92
160,INDIVIDUALE,ITA,0:51:56,51.93
161,INDIVIDUALE,ITA,0:52:02,52.03
162,INDIVIDUALE,ITA,0:52:11,52.18
163,INDIVIDUALE,ITA,0:52:11,52.18
164,RUN CARD,ITA,0:52:16,52.27
